locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
73,1-D648AZ,Long Day Care,Goodstart Early Learning Kincumber,6 Bilinga Rd,KINCUMBER,NSW,2251,-33.47388,151.39049,0xE6100000010C86C954C1A8BC40C014AE47E17AEC6240
74,1-1A46OR,Long Day Care,Happy Start Early Learning Centre,22 Rose Ave,MOUNT PRITCHARD,NSW,2170,-33.89952,150.89669,0xE6100000010C4260E5D022F340C062105839B4DC6240
75,1-1A6E3D,Long Day Care,Hills Daycare and Learning Centre,1 Cliff Ave,WINSTON HILLS,NSW,2153,-33.78356,150.98877,0xE6100000010CA3923A014DE440C0CFF753E3A5DF6240
76,1-1A6QX6,Long Day Care,Kidzville at Kellyville,34-36 Poole Rd,KELLYVILLE,NSW,2155,-33.70724,150.94938,0xE6100000010C98DD938785DA40C0EE7C3F355EDE6240
77,1-1A83S1,Long Day Care,Little Angels Early Learning Centre,1-3 Mullane Avenue,BAULKHAM HILLS,NSW,2153,-33.76362,150.97421,0xE6100000010CE09C11A5BDE140C0BA490C022BDF6240
78,1-1AA5EC,Long Day Care,Blinky's Corner Child Care Centre,94 Military Rd,EAST LISMORE,NSW,2480,-28.82192,153.29956,0xE6100000010C1895D40968D23CC09A99999999296340
79,1-1AEYS9,Long Day Care,Whizz Kidzz Early Childhood Centre,60 Yangoora Rd,LAKEMBA,NSW,2195,-33.91269,151.07922,0xE6100000010C9487855AD3F440C04A0C022B87E26240
80,1-D6UT1O,Long Day Care,Goodstart Early Learning Thornton,4 Sandalwood Ave,THORNTON,NSW,2322,-32.78317,151.6546,0xE6100000010C151DC9E53F6440C0295C8FC2F5F46240
81,1-1AG8CF,Long Day Care,Daisy Learning Centre,2 Tennyson Street,CAMPSIE,NSW,2194,-33.9045,151.10523,0xE6100000010CB29DEFA7C6F340C08FC2F5285CE36240
82,1-1LN6TB,Long Day Care,Kindalin Early Childhood Learning Centre - Castle Hill,10 Hudson Ave,CASTLE HILL,NSW,2154,-33.73147,150.97338,0xE6100000010C1283C0CAA1DD40C04260E5D022DF6240
83,1-631-2795,Long Day Care,Abacus Kindergarten & Learning Centre,67-71 Sentry Dr,STANHOPE GARDENS,NSW,2768,-33.72402,150.91852,0xE6100000010CE9263108ACDC40C0C520B07268DD6240
